method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,000/00000088,0.19700461626052856,0.0005802794476039708,0.19599418342113495
Fine-tuned BasicVSR++,000/00000089,0.19755840301513672,0.0005932076601311564,0.19480501115322113
Fine-tuned BasicVSR++,000/00000090,0.1696433573961258,0.0005704938666895032,0.17809602618217468
Fine-tuned BasicVSR++,000/00000091,0.16348767280578613,0.0004981073434464633,0.16216596961021423
Fine-tuned BasicVSR++,000/00000092,0.16696123778820038,0.00045765002141706645,0.1656181961297989
Fine-tuned BasicVSR++,000/00000093,0.17502671480178833,0.0004618223465513438,0.162798210978508
Fine-tuned BasicVSR++,000/00000094,0.1757279932498932,0.0004618662060238421,0.1654304414987564
Fine-tuned BasicVSR++,000/00000095,0.18584920465946198,0.0004598122905008495,0.17800858616828918
Fine-tuned BasicVSR++,000/00000096,0.19593317806720734,0.000446668011136353,0.19254474341869354
Fine-tuned BasicVSR++,000/00000097,0.19707317650318146,0.00045507148024626076,0.19169488549232483
Fine-tuned BasicVSR++,000/00000098,0.19532597064971924,0.00047050401917658746,0.20004451274871826
Fine-tuned BasicVSR++,000/00000099,0.20012220740318298,0.0004787204961758107,0.20171697437763214
Fine-tuned BasicVSR++,001/00000000,0.20683805644512177,0.0004690435598604381,0.2075539082288742
Fine-tuned BasicVSR++,001/00000001,0.2021455317735672,0.0004195967921987176,0.18792040646076202
Fine-tuned BasicVSR++,001/00000002,0.18978936970233917,0.00040895951678976417,0.17816171050071716
Fine-tuned BasicVSR++,001/00000003,0.19086235761642456,0.0004373880219645798,0.17302770912647247
Fine-tuned BasicVSR++,001/00000004,0.2065911442041397,0.0004385303473100066,0.17725104093551636
Fine-tuned BasicVSR++,001/00000005,0.21036165952682495,0.0004557840002235025,0.19638590514659882
Fine-tuned BasicVSR++,001/00000006,0.1770387440919876,0.0004294406098779291,0.1770225465297699
Fine-tuned BasicVSR++,001/00000007,0.17894379794597626,0.0003768032474908978,0.1631644368171692
Fine-tuned BasicVSR++,001/00000008,0.1789805144071579,0.00042899689287878573,0.15575730800628662
Fine-tuned BasicVSR++,001/00000009,0.17753414809703827,0.00043667206773534417,0.16356652975082397
Fine-tuned BasicVSR++,001/00000010,0.17213544249534607,0.00040153582813218236,0.15623000264167786
Fine-tuned BasicVSR++,001/00000011,0.16968084871768951,0.00042846312862820923,0.1475478708744049
Fine-tuned BasicVSR++,001/00000012,0.17138925194740295,0.00043555922457017004,0.15355820953845978
Fine-tuned BasicVSR++,001/00000013,0.17697185277938843,0.00040888882358558476,0.1642945557832718
Fine-tuned BasicVSR++,001/00000014,0.1839708536863327,0.0004248262266628444,0.1601215898990631
Fine-tuned BasicVSR++,001/00000015,0.18338899314403534,0.00036783196264877915,0.17003002762794495
Fine-tuned BasicVSR++,001/00000016,0.17796590924263,0.0003981230838689953,0.16458123922348022
Fine-tuned BasicVSR++,001/00000017,0.1802487075328827,0.000402466714149341,0.1644405722618103
Fine-tuned BasicVSR++,001/00000018,0.1778784841299057,0.00038396933814510703,0.15806621313095093
Fine-tuned BasicVSR++,001/00000019,0.17392155528068542,0.00038285492337308824,0.16410599648952484
Fine-tuned BasicVSR++,001/00000020,0.16713710129261017,0.0004103496321476996,0.15491297841072083
Fine-tuned BasicVSR++,001/00000021,0.16686631739139557,0.0004163562261965126,0.1514700949192047
Fine-tuned BasicVSR++,001/00000022,0.16165511310100555,0.00040938518941402435,0.1573035717010498
Fine-tuned BasicVSR++,001/00000023,0.16889548301696777,0.00039733375888317823,0.15331272780895233
Fine-tuned BasicVSR++,001/00000024,0.16655850410461426,0.0003862413577735424,0.15356068313121796
Fine-tuned BasicVSR++,001/00000025,0.17632097005844116,0.00042987323831766844,0.15614034235477448
Fine-tuned BasicVSR++,001/00000026,0.18813766539096832,0.00040934188291430473,0.1679372936487198
Fine-tuned BasicVSR++,001/00000027,0.1898760199546814,0.0004108233842998743,0.1699502319097519
Fine-tuned BasicVSR++,001/00000028,0.17443084716796875,0.00041665532626211643,0.16731983423233032
Fine-tuned BasicVSR++,001/00000029,0.16057270765304565,0.00039132506935857236,0.1525452733039856
Fine-tuned BasicVSR++,001/00000030,0.16272640228271484,0.0003887161146849394,0.1498878449201584
Fine-tuned BasicVSR++,001/00000031,0.1595141589641571,0.000406740844482556,0.14325165748596191
Fine-tuned BasicVSR++,001/00000032,0.16418585181236267,0.00039085643948055804,0.1470385491847992
Fine-tuned BasicVSR++,001/00000033,0.16667528450489044,0.0004934341995976865,0.17289526760578156
Fine-tuned BasicVSR++,001/00000034,0.16094344854354858,0.00041202647844329476,0.14758357405662537
Fine-tuned BasicVSR++,001/00000035,0.1694594770669937,0.0004096986085642129,0.15164977312088013
Fine-tuned BasicVSR++,001/00000036,0.1651170253753662,0.00039004095015116036,0.14774613082408905
